,url,city,price,year,manufacturer,make,condition,cylinders,fuel,odometer,title_status,transmission,vin,drive,size,type,paint_color,image_url,lat,long,county_fips,county_name,state_fips,state_code,state_name,weather
34552,https://losangeles.craigslist.org/sfv/cto/d/2004-nissan-titan-le-4x4/6750455374.html,losangeles,5450,2004.0,nissan,titan,excellent,8 cylinders,gas,207000.0,clean,automatic,,4wd,full-size,pickup,red,https://images.craigslist.org/00x0x_d3EN2CF32AR_600x450.jpg,34.1672,-118.3989,6037.0,Los Angeles,6.0,CA,California,59.0
34565,https://losangeles.craigslist.org/wst/cto/d/2008-chevy-cobalt/6747021994.html,losangeles,3000,2008.0,chevrolet,cobalt,,,gas,,clean,automatic,,,,,,https://images.craigslist.org/01212_auvjC6cvopv_600x450.jpg,33.8286,-118.292,6037.0,Los Angeles,6.0,CA,California,59.0
34566,https://losangeles.craigslist.org/lac/cto/d/2016-toyota-prius/6747639542.html,losangeles,8900,2016.0,toyota,prius c,,,hybrid,,salvage,automatic,,,,,,https://images.craigslist.org/00s0s_d1HIFBLHOXE_600x450.jpg,34.2209,-118.3699,6037.0,Los Angeles,6.0,CA,California,59.0
34567,https://losangeles.craigslist.org/lac/cto/d/2015-toyota-prius/6735571586.html,losangeles,13500,2015.0,toyota,prius v,,,hybrid,,salvage,automatic,,,,,,https://images.craigslist.org/00s0s_3hdEJBKcjxk_600x450.jpg,34.2209,-118.3699,6037.0,Los Angeles,6.0,CA,California,59.0
34596,https://losangeles.craigslist.org/sfv/cto/d/2016-toyota-prius-two/6750439625.html,losangeles,12800,2016.0,toyota,prius,excellent,4 cylinders,hybrid,34000.0,salvage,automatic,,fwd,,,red,https://images.craigslist.org/00D0D_gMQgvBcUgCK_600x450.jpg,34.184258,-118.785896,6111.0,Ventura,6.0,CA,California,59.0
34639,https://losangeles.craigslist.org/sfv/ctd/d/2014-toyota-camry-le-205-mo/6750380501.html,losangeles,250,2014.0,toyota,camry le,,4 cylinders,gas,54503.0,clean,automatic,4T1BF1FK7EU828774,fwd,,sedan,,https://images.craigslist.org/00Z0Z_e7ynMbQx0wO_600x450.jpg,34.193804,-118.492652,6037.0,Los Angeles,6.0,CA,California,59.0
34657,https://losangeles.craigslist.org/wst/cto/d/2004-chevy-silverado-1500-one/6750342107.html,losangeles,1600,2004.0,,Clear CA title,,,gas,,clean,automatic,,,,,,https://images.craigslist.org/00f0f_7y7cjUg8uNS_600x450.jpg,34.01,-118.4717,6037.0,Los Angeles,6.0,CA,California,59.0
34680,https://losangeles.craigslist.org/lac/cto/d/2012-hyundai-genesis-sedan/6742196594.html,losangeles,5995,2012.0,hyundai,genesis,excellent,6 cylinders,gas,50000.0,parts only,automatic,,rwd,,,grey,https://images.craigslist.org/00j0j_lLftfpy7JYb_600x450.jpg,47.4648,-122.2075,53033.0,King,53.0,WA,Washington,50.0
34692,https://losangeles.craigslist.org/lac/cto/d/2006-gmc-sierra-lbz-duramax/6741838401.html,losangeles,24000,2006.0,gmc,2500 hd,good,8 cylinders,diesel,203000.0,clean,automatic,1GTHK23276F131308,4wd,full-size,truck,white,https://images.craigslist.org/00K0K_ivRWHoLYKiW_600x450.jpg,36.2765,-115.2885,32003.0,Clark,32.0,NV,Nevada,46.0
34720,https://losangeles.craigslist.org/lac/cto/d/vacation-sale-2019-tags-2002/6750250328.html,losangeles,500,2002.0,pontiac,se,good,6 cylinders,gas,175235.0,clean,automatic,,fwd,compact,sedan,black,https://images.craigslist.org/00g0g_5CDPFur3H2H_600x450.jpg,33.8925,-118.2961,6037.0,Los Angeles,6.0,CA,California,59.0
34726,https://losangeles.craigslist.org/sgv/cto/d/2003-gmc-yukon/6750249284.html,losangeles,1700,2003.0,gmc,yukon,,,gas,195399.0,clean,automatic,,,,,,https://images.craigslist.org/00909_fDbrra3Hx5I_600x450.jpg,33.9693,-118.0337,6037.0,Los Angeles,6.0,CA,California,59.0
35543,https://losangeles.craigslist.org/sfv/cto/d/2004-toyota/6743946325.html,losangeles,5300,2004.0,,T,,,gas,,clean,automatic,,,,,,https://images.craigslist.org/00909_joVwQu4C0Sr_600x450.jpg,34.194169,-118.391075,6037.0,Los Angeles,6.0,CA,California,59.0
35629,https://losangeles.craigslist.org/sgv/cto/d/2004-bmw-325ci/6750271475.html,losangeles,2500,2004.0,bmw,325ci,good,6 cylinders,gas,150000.0,clean,manual,WBABW33404PG97755,rwd,compact,convertible,black,https://images.craigslist.org/00H0H_2dgWSM5F8yY_600x450.jpg,34.0658,-118.0853,6037.0,Los Angeles,6.0,CA,California,59.0
36760,https://losangeles.craigslist.org/sfv/cto/d/2014-bmw-328d-xdrive-diesel/6750241308.html,losangeles,23000,2014.0,,328D,excellent,4 cylinders,diesel,,clean,automatic,,4wd,,wagon,white,https://images.craigslist.org/00b0b_20J7YbiGMcT_600x450.jpg,34.1802,-118.4324,6037.0,Los Angeles,6.0,CA,California,59.0
78567,https://losangeles.craigslist.org/lac/cto/d/2004-subaru-forester-25xs/6732859867.html,losangeles,4900,2004.0,subaru,forester,good,4 cylinders,gas,,clean,automatic,,4wd,mid-size,wagon,silver,https://images.craigslist.org/00t0t_6Ai7I1tafNK_600x450.jpg,34.0079,-118.2582,6037.0,Los Angeles,6.0,CA,California,59.0
78575,https://losangeles.craigslist.org/sfv/cto/d/2010-porsche-panamera-turbo/6723142184.html,losangeles,48500,2010.0,,porsche panamera turbo,excellent,8 cylinders,gas,42000.0,clean,automatic,WP0AC2A76AL090824,4wd,full-size,hatchback,blue,https://images.craigslist.org/00606_gKioTknFJz1_600x450.jpg,34.1872,-118.3865,6037.0,Los Angeles,6.0,CA,California,59.0
78576,https://losangeles.craigslist.org/lac/cto/d/2000-honda-accord-ex/6737725930.html,losangeles,1600,2000.0,honda,accord ex,good,6 cylinders,gas,177200.0,clean,automatic,,,,,,https://images.craigslist.org/00000_c70VJXHRQoy_600x450.jpg,33.8186,-117.9729,6059.0,Orange,6.0,CA,California,59.0
78577,https://losangeles.craigslist.org/wst/cto/d/low-mileage-2005-bentley/6737712512.html,losangeles,37000,2005.0,,Bentley continental gt,excellent,12 cylinders,gas,27500.0,clean,automatic,SCBCR63WX5C027673,,full-size,coupe,black,https://images.craigslist.org/00909_55nSaztEcDA_600x450.jpg,34.064408,-118.49331399999998,6037.0,Los Angeles,6.0,CA,California,59.0
78578,https://losangeles.craigslist.org/lac/cto/d/2011-lexus-esmiles/6724310320.html,losangeles,10400,2011.0,lexus,es 350,good,6 cylinders,gas,50000.0,salvage,automatic,Jthbk1egob2450591,fwd,compact,sedan,black,https://images.craigslist.org/00F0F_aNHfZUzsVUL_600x450.jpg,33.9099,-118.2357,6037.0,Los Angeles,6.0,CA,California,59.0
78579,https://losangeles.craigslist.org/lgb/ctd/d/2017-land-rover-range-rover/6737624539.html,losangeles,129000,2017.0,rover,,,8 cylinders,gas,17447.0,clean,automatic,SALGW2FEXHA334188,4wd,,SUV,black,https://images.craigslist.org/00808_j0Z7DwZ1Nrw_600x450.jpg,33.761525,-117.920551,6059.0,Orange,6.0,CA,California,59.0
78580,https://losangeles.craigslist.org/lgb/cto/d/1987-volkswagon-van/6737621285.html,losangeles,25000,1987.0,volkswagen,vanagon westfalia,good,4 cylinders,gas,257504.0,clean,automatic,WV2ZB0253HH014662,rwd,,,grey,https://images.craigslist.org/00K0K_c88H2S2ne97_600x450.jpg,47.6496,-117.2581,53063.0,Spokane,53.0,WA,Washington,50.0
79050,https://losangeles.craigslist.org/wst/cto/d/2007-nissan-quest-35s-good/6733691727.html,losangeles,4000,2007.0,nissan,quest,good,6 cylinders,gas,147000.0,clean,automatic,7N114799,fwd,mid-size,mini-van,grey,https://images.craigslist.org/00C0C_dUpH2O2okOY_600x450.jpg,33.8397,-118.3542,6037.0,Los Angeles,6.0,CA,California,59.0
79062,https://losangeles.craigslist.org/wst/cto/d/2002-infiniti-i35-great-car/6737677602.html,losangeles,1900,2002.0,infiniti,i35,good,6 cylinders,gas,174910.0,rebuilt,automatic,Jnkda31a82t019418,,,,black,https://images.craigslist.org/00H0H_79lAjaGGmsi_600x450.jpg,34.071917,-118.84993600000001,6037.0,Los Angeles,6.0,CA,California,59.0
114670,https://losangeles.craigslist.org/lgb/cto/d/2010-nissan-cube/6719381956.html,losangeles,4000,2010.0,nissan,cube,good,,gas,,clean,automatic,,,,,,https://images.craigslist.org/00P0P_2VNfxbOHm0q_600x450.jpg,33.8359,-117.9086,6059.0,Orange,6.0,CA,California,59.0
114671,https://losangeles.craigslist.org/lgb/cto/d/2006-bmw-750li-super-clean/6719381817.html,losangeles,12300,2006.0,bmw,750li sport,like new,8 cylinders,gas,129063.0,clean,automatic,,rwd,,,silver,https://images.craigslist.org/00W0W_jxdhaTQpt3v_600x450.jpg,34.0699,-118.3492,6037.0,Los Angeles,6.0,CA,California,59.0
114723,https://losangeles.craigslist.org/ant/cto/d/2008-accord-exl/6719367643.html,losangeles,6500,2008.0,honda,,excellent,6 cylinders,gas,,clean,automatic,,,,,,https://images.craigslist.org/00H0H_fBKVnX4ppHh_600x450.jpg,33.8359,-117.9086,6059.0,Orange,6.0,CA,California,59.0
114769,https://losangeles.craigslist.org/sfv/cto/d/2014-toyota-tacomamiles/6715830730.html,losangeles,11850,2014.0,toyota,tacoma,,,gas,,salvage,automatic,,,,,,https://images.craigslist.org/00J0J_K51JIaKKNK_600x450.jpg,34.1781,-118.4574,6037.0,Los Angeles,6.0,CA,California,59.0
114770,https://losangeles.craigslist.org/lgb/ctd/d/2015-ford-explorer-4wd-sport/6719333286.html,losangeles,18995,2015.0,ford,explorer,,,gas,,clean,automatic,,,,,,https://images.craigslist.org/00R0R_iwDNNp0wN7W_600x450.jpg,34.0794,-117.4551,6071.0,San Bernardino,6.0,CA,California,59.0
114774,https://losangeles.craigslist.org/sfv/cto/d/65-tv-sony-4k/6704895440.html,losangeles,499,2018.0,,NEW,,,other,,clean,other,7,,,,,https://images.craigslist.org/00U0U_7syg53dB28E_600x450.jpg,34.2197,-118.6111,6037.0,Los Angeles,6.0,CA,California,59.0
114789,https://losangeles.craigslist.org/sgv/cto/d/acura-tsx-2004-firm/6719304640.html,losangeles,3200,2004.0,,A,,,gas,,clean,automatic,,,,,,https://images.craigslist.org/00P0P_jiRXQkGvGHZ_600x450.jpg,34.0133,-118.113,6037.0,Los Angeles,6.0,CA,California,59.0
114791,https://losangeles.craigslist.org/lac/cto/d/2000-mercedes-ml-320/6712256824.html,losangeles,1900,2000.0,mercedes,benz ml320,,,gas,,clean,automatic,,,,,,https://images.craigslist.org/00F0F_aznmdR9lyCt_600x450.jpg,33.9218,-118.1395,6037.0,Los Angeles,6.0,CA,California,59.0
114940,https://losangeles.craigslist.org/sgv/cto/d/3500-sierra-diesel-4x4-long/6719306750.html,losangeles,15900,2010.0,,G,,,diesel,,clean,automatic,,,,,,https://images.craigslist.org/00T0T_crtBHQtwG2h_600x450.jpg,34.0133,-118.113,6037.0,Los Angeles,6.0,CA,California,59.0
114945,https://losangeles.craigslist.org/sfv/cto/d/honda-civic-priced-reduced/6719289148.html,losangeles,800,1994.0,honda,civic,,,gas,,clean,automatic,,,,,,https://images.craigslist.org/00V0V_lFIVrwMskeG_600x450.jpg,34.2583,-118.5914,6037.0,Los Angeles,6.0,CA,California,59.0
122691,https://losangeles.craigslist.org/ant/cto/d/toyota-tacoma-2003-prerunner/6719559871.html,losangeles,8399,2003.0,toyota,tacoma 2003,,,gas,,clean,automatic,,,,,,https://images.craigslist.org/00R0R_8n0BJ3HjXQn_600x450.jpg,8.816136,-83.055782,,,,,FAILED,
122693,https://losangeles.craigslist.org/lac/cto/d/1981-mazda-rx-7-gsl-low/6719555550.html,losangeles,3000,1981.0,mazda,rx 7 gsl,good,other,gas,60000.0,clean,manual,,rwd,compact,coupe,black,https://images.craigslist.org/00m0m_7zU9gZ7O1T6_600x450.jpg,34.1921,-118.235,6037.0,Los Angeles,6.0,CA,California,59.0
122696,https://losangeles.craigslist.org/lgb/ctd/d/1925-ford-bucket-skuc/6719554944.html,losangeles,16900,1925.0,ford,t-bucket,,,gas,8033.0,clean,automatic,,,,coupe,green,https://images.craigslist.org/00404_h6dmsLyTt76_600x450.jpg,36.063839,-115.02167800000001,32003.0,Clark,32.0,NV,Nevada,46.0
122697,https://losangeles.craigslist.org/lac/cto/d/2007-ford-e250-cargo-van-with/6716240514.html,losangeles,11500,2007.0,ford,e250 cargo van,excellent,8 cylinders,gas,75500.0,clean,automatic,,rwd,full-size,van,white,https://images.craigslist.org/00X0X_14kJplDyUld_600x450.jpg,35.991646,-115.10691399999999,32003.0,Clark,32.0,NV,Nevada,46.0
122707,https://losangeles.craigslist.org/lac/cto/d/lower-pricechrysler-300/6710817791.html,losangeles,26950,1963.0,chrysler,300,,,gas,,clean,automatic,,,,,,https://images.craigslist.org/00101_9IqYadjhaVc_600x450.jpg,46.0614,-118.3315,53071.0,Walla Walla,53.0,WA,Washington,50.0
122708,https://losangeles.craigslist.org/lac/cto/d/honda-accord-1999/6719548584.html,losangeles,3000,1999.0,honda,accord 4-door sedan,,,gas,,clean,manual,,,,,,https://images.craigslist.org/00Y0Y_a4kOoaTErhC_600x450.jpg,34.1145,-118.1929,6037.0,Los Angeles,6.0,CA,California,59.0
