,price,year,manufacturer,make,condition,cylinders,fuel,odometer,title_status,transmission,vin,drive,size,type,paint_color,lat,long,county_fips,state_fips,weather
34552,5450,2004.0,nissan,titan,excellent,8 cylinders,gas,207000.0,clean,automatic,,4wd,full-size,pickup,red,34.1672,-118.3989,6037.0,6.0,59.0
34565,3000,2008.0,chevrolet,cobalt,,,gas,,clean,automatic,,,,,,33.8286,-118.292,6037.0,6.0,59.0
34566,8900,2016.0,toyota,prius c,,,hybrid,,salvage,automatic,,,,,,34.2209,-118.3699,6037.0,6.0,59.0
34567,13500,2015.0,toyota,prius v,,,hybrid,,salvage,automatic,,,,,,34.2209,-118.3699,6037.0,6.0,59.0
34596,12800,2016.0,toyota,prius,excellent,4 cylinders,hybrid,34000.0,salvage,automatic,,fwd,,,red,34.184258,-118.785896,6111.0,6.0,59.0
34639,250,2014.0,toyota,camry le,,4 cylinders,gas,54503.0,clean,automatic,4T1BF1FK7EU828774,fwd,,sedan,,34.193804,-118.492652,6037.0,6.0,59.0
34657,1600,2004.0,,Clear CA title,,,gas,,clean,automatic,,,,,,34.01,-118.4717,6037.0,6.0,59.0
34680,5995,2012.0,hyundai,genesis,excellent,6 cylinders,gas,50000.0,parts only,automatic,,rwd,,,grey,47.4648,-122.2075,53033.0,53.0,50.0
34692,24000,2006.0,gmc,2500 hd,good,8 cylinders,diesel,203000.0,clean,automatic,1GTHK23276F131308,4wd,full-size,truck,white,36.2765,-115.2885,32003.0,32.0,46.0
34720,500,2002.0,pontiac,se,good,6 cylinders,gas,175235.0,clean,automatic,,fwd,compact,sedan,black,33.8925,-118.2961,6037.0,6.0,59.0
34726,1700,2003.0,gmc,yukon,,,gas,195399.0,clean,automatic,,,,,,33.9693,-118.0337,6037.0,6.0,59.0
35543,5300,2004.0,,T,,,gas,,clean,automatic,,,,,,34.194169,-118.391075,6037.0,6.0,59.0
35629,2500,2004.0,bmw,325ci,good,6 cylinders,gas,150000.0,clean,manual,WBABW33404PG97755,rwd,compact,convertible,black,34.0658,-118.0853,6037.0,6.0,59.0
36760,23000,2014.0,,328D,excellent,4 cylinders,diesel,,clean,automatic,,4wd,,wagon,white,34.1802,-118.4324,6037.0,6.0,59.0
78567,4900,2004.0,subaru,forester,good,4 cylinders,gas,,clean,automatic,,4wd,mid-size,wagon,silver,34.0079,-118.2582,6037.0,6.0,59.0
78575,48500,2010.0,,porsche panamera turbo,excellent,8 cylinders,gas,42000.0,clean,automatic,WP0AC2A76AL090824,4wd,full-size,hatchback,blue,34.1872,-118.3865,6037.0,6.0,59.0
78576,1600,2000.0,honda,accord ex,good,6 cylinders,gas,177200.0,clean,automatic,,,,,,33.8186,-117.9729,6059.0,6.0,59.0
